ID	Left	Right
ST13_259027.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_225237.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_863522.2	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_728457.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_226309.1	GenomicSeq__scaffold_14	MarkerGene__59
ST13_575972.1	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_475390.2	MarkerGene__66	GenomicSeq__scaffold_14053
ST13_226309.2	GenomicSeq__scaffold_14	MarkerGene__59
ST13_360462.2	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_360462.2	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_360462.2	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_429999.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_699660.2	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_363679.2	GenomicSeq__scaffold_11495	MarkerGene__57
ST13_523496.2	MarkerGene__17	GenomicSeq__scaffold_18107
ST13_477253.2	MarkerGene__66	GenomicSeq__scaffold_850
ST13_378023.2	MarkerGene__3	GenomicSeq__scaffold_1283
ST13_635584.2	MarkerGene__15	GenomicSeq__scaffold_8106
ST13_655739.2	GenomicSeq__scaffold_751	MarkerGene__36
ST13_428258.1	MarkerGene__57	GenomicSeq__scaffold_18825
ST13_452124.2	MarkerGene__53	GenomicSeq__scaffold_751
ST13_748524.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_748524.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_748524.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_661532.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_477253.1	GenomicSeq__scaffold_850	MarkerGene__66
ST13_693714.2	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_657447.2	GenomicSeq__scaffold_33384	MarkerGene__57
ST13_452526.2	GenomicSeq__scaffold_1283	MarkerGene__3
ST13_413652.1	MarkerGene__59	GenomicSeq__scaffold_14
ST13_528602.2	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_359263.1	MarkerGene__3	GenomicSeq__scaffold_1283
ST13_6265.1	GenomicSeq__scaffold_367	MarkerGene__53
ST13_661532.2	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_575972.2	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_654594.1	GenomicSeq__scaffold_1927	MarkerGene__4
ST13_236539.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_551259.2	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_551259.2	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_551259.2	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_804310.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_809037.1	MarkerGene__66	GenomicSeq__scaffold_850
ST13_621447.1	GenomicSeq__scaffold_3226	MarkerGene__34
ST13_591772.1	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_37074.1	GenomicSeq__scaffold_1283	MarkerGene__3
ST13_826946.2	GenomicSeq__scaffold_20229	MarkerGene__17
ST13_775076.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_555983.1	MarkerGene__66	GenomicSeq__scaffold_102
ST13_378023.1	MarkerGene__3	GenomicSeq__scaffold_1283
ST13_155339.2	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_620610.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_757373.1	MarkerGene__66	GenomicSeq__scaffold_8997
ST13_140110.2	GenomicSeq__scaffold_18107	MarkerGene__17
ST13_871375.1	MarkerGene__4	GenomicSeq__scaffold_4822
ST13_871375.1	MarkerGene__4	GenomicSeq__scaffold_1927
ST13_871375.1	MarkerGene__4	GenomicSeq__scaffold_1283
ST13_415569.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_423094.2	MarkerGene__66	GenomicSeq__scaffold_1824
ST13_247957.1	MarkerGene__17	GenomicSeq__scaffold_20229
ST13_450582.1	GenomicSeq__scaffold_367	MarkerGene__53
ST13_319715.2	MarkerGene__66	GenomicSeq__scaffold_850
